Player,Team,Pos,Age,Club,Club_country,date,hour,category,opponent,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,CrdY,CrdR,tackles_made,successful_tackles,interceptions,Blocks,fouls_commited,own_goal,pass_comp,pass_attempt,successful_dribbles,offside
Renato Steffen,SWITZERLAND,FW,30,Lugano,ch,28 NOV 2022,17 : 00,Group G,BRAZIL,1,0,32,0,0,0,0,0,0,0.0,0,0,1.0,0,0,13.0,15.0,0.0,1
Renato Steffen,SWITZERLAND,FW,30,Lugano,ch,02 DEC 2022,20 : 00,Group G,SERBIA,1,0,32,0,0,0,0,0,0,0.0,0,0,1.0,0,0,13.0,15.0,0.0,1
Renato Steffen,SWITZERLAND,FW,30,Lugano,ch,06 DEC 2022,20 : 00,Round of 16,PORTUGAL,1,0,32,0,0,0,0,0,0,0.0,0,0,1.0,0,0,13.0,15.0,0.0,1
Fabian Frei,SWITZERLAND,MF,33,Basel,ch,24 NOV 2022,11 : 00,Group G,CAMEROON,2,0,25,0,0,0,0,0,0,1.0,1,1,0.0,1,0,9.0,14.0,0.0,0
Fabian Frei,SWITZERLAND,MF,33,Basel,ch,28 NOV 2022,17 : 00,Group G,BRAZIL,2,0,25,0,0,0,0,0,0,1.0,1,1,0.0,1,0,9.0,14.0,0.0,0
Fabian Frei,SWITZERLAND,MF,33,Basel,ch,02 DEC 2022,20 : 00,Group G,SERBIA,2,0,25,0,0,0,0,0,0,1.0,1,1,0.0,1,0,9.0,14.0,0.0,0
Fabian Frei,SWITZERLAND,MF,33,Basel,ch,06 DEC 2022,20 : 00,Round of 16,PORTUGAL,2,0,25,0,0,0,0,0,0,1.0,1,1,0.0,1,0,9.0,14.0,0.0,0
Michel Aebischer,SWITZERLAND,"MF,FW",25,Bologna,it,24 NOV 2022,11 : 00,Group G,CAMEROON,1,0,16,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2.0,4.0,0.0,0
Michel Aebischer,SWITZERLAND,"MF,FW",25,Bologna,it,28 NOV 2022,17 : 00,Group G,BRAZIL,1,0,16,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2.0,4.0,0.0,0
Michel Aebischer,SWITZERLAND,"MF,FW",25,Bologna,it,02 DEC 2022,20 : 00,Group G,SERBIA,1,0,16,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2.0,4.0,0.0,0
Michel Aebischer,SWITZERLAND,"MF,FW",25,Bologna,it,06 DEC 2022,20 : 00,Round of 16,PORTUGAL,1,0,16,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2.0,4.0,0.0,0
Christian Fassnacht,SWITZERLAND,FW,28,Young Boys,ch,24 NOV 2022,11 : 00,Group G,CAMEROON,1,0,8,0,0,1,1,0,0,0.0,0,0,0.0,0,0,7.0,10.0,2.0,0
Christian Fassnacht,SWITZERLAND,FW,28,Young Boys,ch,28 NOV 2022,17 : 00,Group G,BRAZIL,1,0,8,0,0,1,1,0,0,0.0,0,0,0.0,0,0,7.0,10.0,2.0,0
Christian Fassnacht,SWITZERLAND,FW,28,Young Boys,ch,02 DEC 2022,20 : 00,Group G,SERBIA,1,0,8,0,0,1,1,0,0,0.0,0,0,0.0,0,0,7.0,10.0,2.0,0
Christian Fassnacht,SWITZERLAND,FW,28,Young Boys,ch,06 DEC 2022,20 : 00,Round of 16,PORTUGAL,1,0,8,0,0,1,1,0,0,0.0,0,0,0.0,0,0,7.0,10.0,2.0,0
Ardon Jasari,SWITZERLAND,FW,19,Luzern,ch,24 NOV 2022,11 : 00,Group G,CAMEROON,1,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,5.0,6.0,0.0,0
Ardon Jasari,SWITZERLAND,FW,19,Luzern,ch,28 NOV 2022,17 : 00,Group G,BRAZIL,1,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,5.0,6.0,0.0,0
Ardon Jasari,SWITZERLAND,FW,19,Luzern,ch,02 DEC 2022,20 : 00,Group G,SERBIA,1,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,5.0,6.0,0.0,0
Ardon Jasari,SWITZERLAND,FW,19,Luzern,ch,06 DEC 2022,20 : 00,Round of 16,PORTUGAL,1,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,5.0,6.0,0.0,0
Rodri,SPAIN,DF,25,Manchester City,eng,23 NOV 2022,17 : 00,Group E,COSTA RICA,4,4,390,0,0,1,0,0,0,5.0,2,3,3.0,5,0,642.0,689.0,0.0,0
