Player,Team,Pos,Age,Club,Club_country,date,hour,category,opponent,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,CrdY,CrdR,tackles_made,successful_tackles,interceptions,Blocks,fouls_commited,own_goal,pass_comp,pass_attempt,successful_dribbles,offside
Ansu Fati,SPAIN,FW,19,Barcelona,es,01 DEC 2022,20 : 00,Group E,JAPAN,2,0,46,0,0,0,0,0,0,1.0,1,0,0.0,0,0,25.0,29.0,0.0,0
Ansu Fati,SPAIN,FW,19,Barcelona,es,06 DEC 2022,16 : 00,Round of 16,MOROCCO,2,0,46,0,0,0,0,0,0,1.0,1,0,0.0,0,0,25.0,29.0,0.0,0
Pablo Sarabia,SPAIN,FW,30,Paris S-G,fr,23 NOV 2022,17 : 00,Group E,COSTA RICA,1,0,3,0,0,1,0,0,0,0.0,0,0,0.0,0,0,2.0,5.0,0.0,0
Pablo Sarabia,SPAIN,FW,30,Paris S-G,fr,27 NOV 2022,20 : 00,Group E,GERMANY,1,0,3,0,0,1,0,0,0,0.0,0,0,0.0,0,0,2.0,5.0,0.0,0
Pablo Sarabia,SPAIN,FW,30,Paris S-G,fr,01 DEC 2022,20 : 00,Group E,JAPAN,1,0,3,0,0,1,0,0,0,0.0,0,0,0.0,0,0,2.0,5.0,0.0,0
Pablo Sarabia,SPAIN,FW,30,Paris S-G,fr,06 DEC 2022,16 : 00,Round of 16,MOROCCO,1,0,3,0,0,1,0,0,0,0.0,0,0,0.0,0,0,2.0,5.0,0.0,0
Tyler Adams,UNITED STATES,MF,23,Leeds United,eng,21 NOV 2022,20 : 00,Group B,WALES,4,4,360,0,0,1,0,1,0,11.0,9,4,6.0,5,0,241.0,271.0,1.0,0
Tyler Adams,UNITED STATES,MF,23,Leeds United,eng,25 NOV 2022,20 : 00,Group B,ENGLAND,4,4,360,0,0,1,0,1,0,11.0,9,4,6.0,5,0,241.0,271.0,1.0,0
Tyler Adams,UNITED STATES,MF,23,Leeds United,eng,29 NOV 2022,20 : 00,Group B,IRAN,4,4,360,0,0,1,0,1,0,11.0,9,4,6.0,5,0,241.0,271.0,1.0,0
Tyler Adams,UNITED STATES,MF,23,Leeds United,eng,03 DEC 2022,16 : 00,Round of 16,NETHERLANDS,4,4,360,0,0,1,0,1,0,11.0,9,4,6.0,5,0,241.0,271.0,1.0,0
Tim Ream,UNITED STATES,DF,34,Fulham,eng,21 NOV 2022,20 : 00,Group B,WALES,4,4,360,0,0,1,0,1,0,4.0,3,4,2.0,1,0,245.0,276.0,2.0,0
Tim Ream,UNITED STATES,DF,34,Fulham,eng,25 NOV 2022,20 : 00,Group B,ENGLAND,4,4,360,0,0,1,0,1,0,4.0,3,4,2.0,1,0,245.0,276.0,2.0,0
Tim Ream,UNITED STATES,DF,34,Fulham,eng,29 NOV 2022,20 : 00,Group B,IRAN,4,4,360,0,0,1,0,1,0,4.0,3,4,2.0,1,0,245.0,276.0,2.0,0
Tim Ream,UNITED STATES,DF,34,Fulham,eng,03 DEC 2022,16 : 00,Round of 16,NETHERLANDS,4,4,360,0,0,1,0,1,0,4.0,3,4,2.0,1,0,245.0,276.0,2.0,0
Matt Turner,UNITED STATES,GK,27,Arsenal,eng,21 NOV 2022,20 : 00,Group B,WALES,4,4,360,0,0,0,0,0,0,0.0,0,0,0.0,0,0,101.0,128.0,0.0,0
Matt Turner,UNITED STATES,GK,27,Arsenal,eng,25 NOV 2022,20 : 00,Group B,ENGLAND,4,4,360,0,0,0,0,0,0,0.0,0,0,0.0,0,0,101.0,128.0,0.0,0
Matt Turner,UNITED STATES,GK,27,Arsenal,eng,29 NOV 2022,20 : 00,Group B,IRAN,4,4,360,0,0,0,0,0,0,0.0,0,0,0.0,0,0,101.0,128.0,0.0,0
